127.0.0.1 - - [21/Aug/2023:16:32:14 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/icon_refresh.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/icon_rollback.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/icon_run.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/icon_run_selected.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/icon_commit.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/icon_stop.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/icon_history.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/icon_help.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/tables.do?jsessionid=2b35bcd19b0143361df7bc975c3bba7b HTTP/1.1" 200 5538
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/tree.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/tree_minus.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/tree_plus.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/tree_table.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/tree_database.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/tree_empty.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/tree_column.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/tree_type.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/tree_folder.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/tree_users.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/tree_user.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/tree_info.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:07 -0300] "POST /prjModulo8/console/query.do?jsessionid=2b35bcd19b0143361df7bc975c3bba7b HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:07 -0300] "GET /prjModulo8/console/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:07 -0300] "GET /prjModulo8/console/table.js HTTP/1.1" 200 8930
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:07 -0300] "GET /prjModulo8/console/tables.do?jsessionid=2b35bcd19b0143361df7bc975c3bba7b HTTP/1.1" 200 4952
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:07 -0300] "GET /prjModulo8/console/tree.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:07 -0300] "GET /prjModulo8/console/tree_minus.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:07 -0300] "GET /prjModulo8/console/tree_plus.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:07 -0300] "GET /prjModulo8/console/tree_table.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:07 -0300] "GET /prjModulo8/console/tree_database.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:07 -0300] "GET /prjModulo8/console/tree_column.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:07 -0300] "GET /prjModulo8/console/tree_empty.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:07 -0300] "GET /prjModulo8/console/tree_type.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:07 -0300] "GET /prjModulo8/console/tree_folder.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:07 -0300] "GET /prjModulo8/console/tree_info.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:07 -0300] "GET /prjModulo8/console/tree_user.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:07 -0300] "GET /prjModulo8/console/tree_users.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:13 -0300] "POST /prjModulo8/console/query.do?jsessionid=2b35bcd19b0143361df7bc975c3bba7b HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:13 -0300] "GET /prjModulo8/console/tables.do?jsessionid=2b35bcd19b0143361df7bc975c3bba7b HTTP/1.1" 200 4376
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:20 -0300] "POST /prjModulo8/console/query.do?jsessionid=2b35bcd19b0143361df7bc975c3bba7b HTTP/1.1" 200 1341
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:20 -0300] "GET /prjModulo8/console/table.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:20 -0300] "GET /prjModulo8/console/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:20 -0300] "GET /prjModulo8/console/tables.do?jsessionid=2b35bcd19b0143361df7bc975c3bba7b HTTP/1.1" 200 6318
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:20 -0300] "GET /prjModulo8/console/tree.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:20 -0300] "GET /prjModulo8/console/tree_minus.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:20 -0300] "GET /prjModulo8/console/tree_plus.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:20 -0300] "GET /prjModulo8/console/tree_database.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:20 -0300] "GET /prjModulo8/console/tree_table.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:20 -0300] "GET /prjModulo8/console/tree_empty.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:20 -0300] "GET /prjModulo8/console/tree_column.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:20 -0300] "GET /prjModulo8/console/tree_type.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:20 -0300] "GET /prjModulo8/console/tree_folder.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:20 -0300] "GET /prjModulo8/console/tree_user.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:20 -0300] "GET /prjModulo8/console/tree_users.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:20 -0300] "GET /prjModulo8/console/tree_info.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:20 -0300] "GET /prjModulo8/console/tree_index_az.gif HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:20 -0300] "GET /prjModulo8/console/tree_index.gif HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:34 -0300] "GET /prjModulo8/ HTTP/1.1" 200 6393
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:34:40 -0300] "GET /prjModulo8/usuario/cadastro.jsp HTTP/1.1" 200 5511
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:35:02 -0300] "POST /prjModulo8/usuario/registro HTTP/1.1" 200 5732
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:35:34 -0300] "POST /prjModulo8/usuario/registro HTTP/1.1" 200 5710
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:35:40 -0300] "GET /prjModulo8/index.jsp HTTP/1.1" 200 6393
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:35:47 -0300] "POST /prjModulo8/login HTTP/1.1" 200 6598
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:35:56 -0300] "POST /prjModulo8/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:35:57 -0300] "GET /prjModulo8/listagem HTTP/1.1" 200 5917
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:36:46 -0300] "GET /prjModulo8/enviar?titulo=Matematica&descricao=1+%2B+1+%3D+11 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:36:46 -0300] "GET /prjModulo8/listagem HTTP/1.1" 200 8035
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:36:50 -0300] "GET /prjModulo8/editar?id=1 HTTP/1.1" 200 3323
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:36:57 -0300] "POST /prjModulo8/editar HTTP/1.1" 200 8043
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:37:02 -0300] "GET /prjModulo8/enviar?titulo=aaaaaaaaaa&descricao=aaaa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:37:02 -0300] "GET /prjModulo8/listagem HTTP/1.1" 200 10175
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:37:08 -0300] "GET /prjModulo8/enviar?titulo=dddddddddddddddddddddd&descricao=dddddd HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:37:08 -0300] "GET /prjModulo8/listagem HTTP/1.1" 200 12314
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:37:18 -0300] "GET /prjModulo8/deletar?titulo=aaaaaaaaaa HTTP/1.1" 200 10201
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:37:24 -0300] "GET /prjModulo8/deletar?titulo=dddddddddddddddddddddd HTTP/1.1" 200 8043
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:37:25 -0300] "GET /prjModulo8/deletar?titulo=Matematicaaaaa HTTP/1.1" 200 5917
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:37:28 -0300] "GET /prjModulo8/index.jsp HTTP/1.1" 200 6452
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:38:04 -0300] "POST /prjModulo8/login HTTP/1.1" 200 6657
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:38:18 -0300] "POST /prjModulo8/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:38:18 -0300] "GET /prjModulo8/listagem HTTP/1.1" 200 5917
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:38:23 -0300] "GET /prjModulo8/usuario/deslogar.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:38:23 -0300] "GET /prjModulo8/index.jsp HTTP/1.1" 200 6393
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:38:27 -0300] "GET /prjModulo8/usuario/deslogar.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:38:27 -0300] "GET /prjModulo8/index.jsp HTTP/1.1" 200 6393
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:38:36 -0300] "GET /prjModulo8/enviar?titulo=aaaa&descricao= HTTP/1.1" 500 1610
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:38:50 -0300] "GET /prjModulo8/usuario/deslogar.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:38:50 -0300] "GET /prjModulo8/index.jsp HTTP/1.1" 200 6393
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:38:55 -0300] "GET /prjModulo8/editarUsuario?nome=Matheus HTTP/1.1" 200 3603
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:39:03 -0300] "GET /prjModulo8/editarUsuario?nome=Matheus HTTP/1.1" 200 3603
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:39:18 -0300] "GET /prjModulo8/usuario/deslogar.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:39:18 -0300] "GET /prjModulo8/index.jsp HTTP/1.1" 200 6393
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:39:23 -0300] "GET /prjModulo8/enviar?titulo=aaaa&descricao=a HTTP/1.1" 500 1610
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:39:27 -0300] "GET /prjModulo8/editarUsuario?nome=Matheus HTTP/1.1" 200 3603
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:39:36 -0300] "POST /prjModulo8/editarUsuario HTTP/1.1" 500 1519
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:39:52 -0300] "GET /prjModulo8/index.jsp HTTP/1.1" 200 6393
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:40:04 -0300] "GET /prjModulo8/index.jsp HTTP/1.1" 200 6393
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:40:11 -0300] "POST /prjModulo8/login HTTP/1.1" 200 6598
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:40:22 -0300] "POST /prjModulo8/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:40:22 -0300] "GET /prjModulo8/listagem HTTP/1.1" 200 5917
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:42:48 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:42:48 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:43:27 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:43:27 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:48:28 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:48:29 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:49:09 -0300] "GET /prjModulo8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:49:09 -0300] "GET /prjModulo8/ HTTP/1.1" 200 6393
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:49:20 -0300] "GET /prjModulo8/ HTTP/1.1" 200 6393
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:21 -0300] "GET /prjModulo8/console HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:21 -0300] "GET /prjModulo8/console/ HTTP/1.1" 200 938
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:22 -0300] "GET /prjModulo8/console/stylesheet.css HTTP/1.1" 200 4924
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:22 -0300] "GET /prjModulo8/console/login.jsp?jsessionid=042c5caf5cbf032f4bd5233033796e63 HTTP/1.1" 200 8981
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:22 -0300] "GET /prjModulo8/console/background.gif HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:25 -0300] "POST /prjModulo8/console/login.do?jsessionid=042c5caf5cbf032f4bd5233033796e63 HTTP/1.1" 200 1460
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:25 -0300] "GET /prjModulo8/console/header.jsp?jsessionid=042c5caf5cbf032f4bd5233033796e63 HTTP/1.1" 200 8070
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:25 -0300] "GET /prjModulo8/console/help.jsp?jsessionid=042c5caf5cbf032f4bd5233033796e63 HTTP/1.1" 200 5315
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:25 -0300] "GET /prjModulo8/console/query.jsp?jsessionid=042c5caf5cbf032f4bd5233033796e63 HTTP/1.1" 200 16430
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:26 -0300] "GET /prjModulo8/console/tables.do?jsessionid=042c5caf5cbf032f4bd5233033796e63 HTTP/1.1" 200 6318
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:26 -0300] "GET /prjModulo8/console/icon_disconnect.gif HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:26 -0300] "GET /prjModulo8/console/icon_line.gif HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:26 -0300] "GET /prjModulo8/console/icon_refresh.gif HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:26 -0300] "GET /prjModulo8/console/icon_run.gif HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:26 -0300] "GET /prjModulo8/console/icon_commit.gif HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:26 -0300] "GET /prjModulo8/console/icon_rollback.gif HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:26 -0300] "GET /prjModulo8/console/icon_run_selected.gif HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:26 -0300] "GET /prjModulo8/console/icon_stop.gif HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:26 -0300] "GET /prjModulo8/console/icon_history.gif HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:26 -0300] "GET /prjModulo8/console/icon_help.gif HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:26 -0300] "GET /prjModulo8/console/tree.js HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:26 -0300] "GET /prjModulo8/console/tree_plus.gif HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:26 -0300] "GET /prjModulo8/console/tree_minus.gif HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:26 -0300] "GET /prjModulo8/console/tree_database.gif HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:26 -0300] "GET /prjModulo8/console/tree_empty.gif HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:26 -0300] "GET /prjModulo8/console/tree_column.gif HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:26 -0300] "GET /prjModulo8/console/tree_table.gif HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:26 -0300] "GET /prjModulo8/console/tree_type.gif HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:26 -0300] "GET /prjModulo8/console/tree_index_az.gif HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:26 -0300] "GET /prjModulo8/console/tree_users.gif HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:50:26 -0300] "GET /prjModulo8/console/tree_info.gif HTTP/1.1" 200 267
